3_040
ADMDM;Agence du Médicament de Madagascar;Agence du Médicament de Madagascar
AIG;Active Ingredient Number;Active Ingredient Number
ANVISA;National Health Surveillance Agency (ANVISA);National Health Surveillance Agency (ANVISA)
ARFA;Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA);Agência de Regulação e Supervisão dos Produtos Farmacêuticos e Alimentares (ARFA)
ARTG_ID;Australian Register of Therapeutic Goods;Australian Register of Therapeutic Goods
AU_PROSTHESES_REBATE_CODE;Australian Prostheses Rebate Code;Australian Prostheses Rebate Code
BFR;BFR;BFR
BNDA;Bahamas National Drug Agency (BNDA);Bahamas National Drug Agency (BNDA)
BUYER_ASSIGNED;Buyer Assigned;Buyer Assigned
CDSCO;Central Drugs Standard Control Organization (CDSCO);Central Drugs Standard Control Organization (CDSCO)
DAV;Drug Administration of Vietnam (DAV);Drug Administration of Vietnam (DAV)
DDA_NP;Department of Drug Administration (DDA);Department of Drug Administration (DDA)
DDF_KH;Department of Drugs and Food (DDF);Department of Drugs and Food (DDF)
DDSME;Department of Drug Supply and Medical Equipment;Department of Drug Supply and Medical Equipment
DGDA;Directorate General of Drug Administration (DGDA);Directorate General of Drug Administration (DGDA)
DGPML_BF;Direction Générale de la Pharmacie, du Médicament et des Laboratoires (DGPML);Direction Générale de la Pharmacie, du Médicament et des Laboratoires (DGPML)
DGPML_BJ;Direction General of Pharmacy, Medicine and Pharmacy  Laboratories (DGPML);Direction General of Pharmacy, Medicine and Pharmacy  Laboratories (DGPML)
DGRS;Direccion General de Regulacion Sanitaria (DGRS);Direccion General de Regulacion Sanitaria (DGRS)
DIGEMID_MINSA;Dirección General de Medicamentos (DIGEMID-MINSA);Dirección General de Medicamentos (DIGEMID-MINSA)
DIN;DIN;DIN
DIN_HM;DIN HM;DIN HM
DISTRIBUTOR_ASSIGNED;not defined;not defined
DLP;Direction des Laboratoires et des Pharmacies;Direction des Laboratoires et des Pharmacies
DNM_SV;Dirección Nacional de Medicamentos (DNM);Dirección Nacional de Medicamentos (DNM)
DNPL;Direction Nationale de la Pharmacie et du Laboratoire;Direction Nationale de la Pharmacie et du Laboratoire
DPL ;Direction de la Pharmacie et des Laboratoires;Direction de la Pharmacie et des Laboratoires
DPLMT;Direction des Dervices Pharmaceutiques des Laboratoires et de la Médecine Traditionnelle;Direction des Dervices Pharmaceutiques des Laboratoires et de la Médecine Traditionnelle
DPM_CD;Direction de la Pharmacie et du Médicament DPM Democratic Republic of Congo ;Direction de la Pharmacie et du Médicament DPM Democratic Republic of Congo 
DPM_CI;Direction de la Pharmacie et du Médicament DPM Côte d'Ivoire ;Direction de la Pharmacie et du Médicament DPM Côte d'Ivoire 
DPM_ML;Direction de la Pharmacie et du Médicament;Direction de la Pharmacie et du Médicament
