sku;barcode_1;supplier_1_order_code;title_short;supplier_1;supplier_1_purchase_price_net;price_trading;price_sale-nl_NL;price_advice;vat_code_NL;threshold_quantity;supplier_1_amount_order_factor
451;8712757000449;5701801;Aansluiting recht 6/8;640;1.49;0.00;3.25;3.25;2;5;5.00
453;8712757001354;5702401;Knie 6/8 x 6/8 staal;640;3.43;0.00;7.25;7.25;2;5;1.00
875;8712757001057;5709841;Truma kraan K10MS 10x10mm;640;19.28;11.86;33.95;33.95;2;;1.00
997;8712757000722;5703161;Verl. kopp. 6/8x4/6;640;2.15;0.00;4.50;4.50;2;10;1.00
1395;8712757003860;5703111;Rechte aansl. 6/8x6/8;640;2.83;0.00;5.95;5.95;2;0;5.00
1405;8712757003518;5600471;Borstnippel 1/4x1/4 li.bu.;640;1.86;0.00;5.95;5.95;2;10;5.00
1409;8712757009930;5128751;Cramer Pakkingringen 2-st.;640;1.86;0.00;3.50;4.00;2;5;0.00
1415;8712757003334;5600461;Slangpilaar 1/4 li bu;640;2.69;0.00;5.95;5.95;2;20;5.00
2490;8712013033228;6603322;Waterkluisje 15,4 ltr;2;13.80;12.97;26.95;35.95;2;5;1.00
2491;8712013033211;6603321;Waterkluisje 10,4 ltr;2;11.65;11.02;19.95;30.50;2;5;1.00
2572;4008710106025;6514925;Tentbezem 100 cm;2;1.99;3.41;3.95;4.95;2;20;10.00
2589;8712013119373;1211937;Stoel BC Copa Rio Classic graphite;2;13.25;0.00;24.95;39.95;2;20;7.00
2590;8712013119366;1211936;Stoel BC Copa Rio Classic forest;2;13.25;0.00;24.95;39.95;2;20;7.00
2591;8712013119359;1211935;Stoel BC Copa Rio Classic ocean;2;13.25;0.00;24.95;39.95;2;20;7.00
2612;0056389091733;7699173;Poncho *9173 Coghlan;2;0.94;1.05;1.95;3.50;2;0;24.00
6107;4002273902117;4111050;Prym drukknop opschr.b. 390211;2;5.01;0.00;9.95;10.95;2;20;5.00
6244;4031656010576;S8070.82.50;Schroefdop v. jerrican 14ltr;12060;1.45;0.00;2.95;2.50;2;10;0.00
7452;8712757002634;5700611;Klemslangpilaar 10/12mm;640;1.62;0.00;3.95;3.95;2;5;5.00
13251;8712497002147;233-10292;Afvoerbuis 28x1,5mm 2-mtr;940;2.49;0.00;4.95;0.00;2;0;1.00
13350;8712013633367;7263336;Parasolgrondpen 50cm;2;2.01;0.00;4.95;8.25;2;20;24.00
23571;4002275413734;4111000;Zeilringen 14mm(10x);2;5.44;0.00;9.95;12.50;2;20;5.00
24790;8712013810874;6381087;Hangmandjes a 3 stuks;2;4.58;0.00;9.95;12.75;2;20;24.00
24798;8712013001500;2200150;Pannenset Safari;2;15.77;0.00;29.95;43.95;2;0;6.00
25600;3086960048662;6603760;Benzinejerrican 5-ltr rood;2;3.49;0.00;6.95;8.95;2;20;10.00
25616;43500000-052;43500000-052;X-Stuk;640;0.90;0.00;1.65;0.00;2;0;1.00
27592;4002275413710;4110975;Zeilringen 11mm;2;4.48;4.00;9.95;9.50;2;20;5.00
29032;8712013637518;4163751;Stormband 13mtr/2 haringen;2;4.47;0.00;8.95;14.50;2;20;6.00
31401;3086960048679;6603765;Benzinejerrican 10-ltr rood;2;4.35;0.00;8.95;10.95;2;20;10.00
32214;0056389005044;7690504;Camp Stove Toaster;2;2.50;0.00;4.95;7.25;2;20;6.00
