code;label-nl_BE;label-en_GB;label-fr_BE;allowed_extensions;auto_option_sorting;available_locales;copy_to_blueprint;date_max;date_min;decimals_allowed;default_metric_unit;group;hidden;localizable;max_characters;max_file_size;metric_family;minimum_input_length;min_characters;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;target_entity;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
sku;;;;;;;0;;;;;general;0;0;;;;;;;;;;0;1;Category;pim_catalog_identifier;1;1;;;
material_type;"Omschrijf de werken";"Material type";;;;;0;;;;;Uittevoerenwerken;0;0;;;;;;;;;;0;1;Category;pim_catalog_text;0;0;;;
diesel_option;"Met of zonder diesel";"Diesel option";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;1;Category;pim_catalog_simpleselect;0;0;;;
control_option;"Met of zonder bediening";"Control option";;;;;0;;;;;remarks;0;0;;;;;;;;;;0;0;Category;pim_catalog_simpleselect;0;0;;;
steering;Sturing;Steering;;;;;0;;;;;other;0;0;;;;;;;;;;0;11;Category;pim_catalog_simpleselect;0;0;;;
laser;"Laser sturing (bakontvanger)";Laser;;;;;0;;;;;options;0;0;;;;;;;;;;0;9;Category;pim_catalog_boolean;0;1;;;
probe;Taster;Probe;;;;;0;;;;;options;0;0;;;;;;;;;;0;19;Product,Category;pim_catalog_boolean;0;1;;;
pressurized_cabin;Overdrukcabine;"Pressurized cabin";;;;;0;;;;;options;0;0;;;;;;;;;;0;15;Product,Category;pim_catalog_boolean;0;1;;;
tilt_coupling;Kantelkoppeling;"Tilt coupling";;;;;0;;;;;annex;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
tilt_rotation_coupling;Kantel-rotatiekoppeling;"Tilt rotation coupling";;;;;0;;;;;annex;0;0;;;;;;;;;;0;3;Category;pim_catalog_boolean;0;0;;;
semi_automatic;Semi-automaat;"Semi automatic";;;;;0;;;;;options;0;0;;;;;;;;;;0;17;Product,Category;pim_catalog_boolean;0;0;;;
hydraulic_breaker;"Hydraulische breekhamer";"Hydraulic breaker";;;;;0;;;;;annex;0;0;;;;;;;;;;0;5;Category;pim_catalog_boolean;0;0;;;
hydraulic_crusher;"Hydraulische crusher";"Hydraulic crusher";;;;;0;;;;;annex;0;0;;;;;;;;;;0;6;Category;pim_catalog_boolean;0;0;;;
hydraulic_concrete_breaker;"Hydraulische betonschaar";"Hydraulic concrete breaker";;;;;0;;;;;annex;0;0;;;;;;;;;;0;7;Category;pim_catalog_boolean;0;0;;;
hydraulic_iron_scissors;"Hydraulische ijzerschaar";"Hydraulic iron scissors";;;;;0;;;;;annex;0;0;;;;;;;;;;0;8;Category;pim_catalog_boolean;0;0;;;
weight_system;Weegsysteem;"Weight system";;;;;0;;;;;options;0;0;;;;;;;;;;0;18;Category;pim_catalog_boolean;0;0;;;
scale_gripper;Schalengrijper;"Scale gripper";;;;;0;;;;;annex;0;0;;;;;;;;;;0;9;Category;pim_catalog_boolean;0;0;;;
poli_grab;Poliepgrijper;"Poli grab";;;;;0;;;;;annex;0;0;;;;;;;;;;0;10;Category;pim_catalog_boolean;0;0;;;
sorting_head_grapples;Sorteergrijper;"Sorting head grapples";;;;;0;;;;;annex;0;0;;;;;;;;;;0;11;Category;pim_catalog_boolean;0;0;;;
turntable;Draaikrans;Turntable;;;;;0;;;;;specifications;0;0;;;;;;;;;;0;2;Category;pim_catalog_boolean;0;0;;;
gnss;GNSS;GNSS;;;;;0;;;;;options;0;0;;;;;;;;;;0;10;Category;pim_catalog_boolean;0;0;;;
scoop_tank;Schepbak;"Scoop tank";;;;;0;;;;;annex;0;0;;;;;;;;;;0;12;Category;pim_catalog_boolean;0;0;;;
palletfork;Palletvork;Palletfork;;;;;0;;;;;annex;0;0;;;;;;;;;;0;21;Category;pim_catalog_boolean;0;0;;;
cobblestone_tank;Kasseibak/Riekbak/Puinbak;"Cobblestone tank";;;;;0;;;;;annex;0;0;;;;;;;;;;0;13;Category;pim_catalog_boolean;0;0;;;
wipe_brush;Veegborstel;"Wipe brush";;;;;0;;;;;annex;0;0;;;;;;;;;;0;15;Category;pim_catalog_boolean;0;0;;;
equalize_tank;Nivelleerbalk;"Equalize tank";;;;;0;;;;;annex;0;0;;;;;;;;;;0;17;Category;pim_catalog_boolean;0;0;;;
compaction_meter;Verdichtingsmeter;"Compaction meter";;;;;0;;;;;options;0;0;;;;;;;;;;0;12;Category;pim_catalog_boolean;0;0;;;
tachograph;Tachograaf;Tachograph;;;;;0;;;;;specifications;0;0;;;;;;;;;;0;3;Category;pim_catalog_boolean;0;0;;;
gps_tracking;"GPS tracking";"GPS tracking";;;;;0;;;;;options;0;0;;;;;;;;;;0;20;Category;pim_catalog_boolean;0;0;;;
watersupply;"Watervoorziening (asfalt)";Watersupply;;;;;0;;;;;other;0;0;;;;;;;;;;0;2;Category;pim_catalog_boolean;0;0;;;
partitioning_walls_various_dimensions;"Schotten diverse afmetingen";"Partitioning walls various dimensions";;;;;0;;;;;materials;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
extra_ballast_weights;"Extra ballastgewichten (aanvoer per vrachtwagen)";"Extra ballast weights";;;;;0;;;;;other;0;0;;;;;;;;;;0;3;Category;pim_catalog_boolean;0;0;;;
ballast;"Ballast (aantal ton)";Ballast;;;;;0;;;0;TON;other;0;0;;;Weight;;;0;;;;0;4;Category;pim_catalog_metric;0;0;;;
exact_amount_of_boomlength_meters;"Exact aantal meter gieklengte";"Exact amount of boomlength meters";;;;;0;;;0;METER;specifications;0;0;;;Length;;;0;;;;0;4;Category;pim_catalog_metric;0;0;;;
aluminium_tank;"Aluminium bak";"Aluminium tank";;;;;0;;;;;other;0;0;;;;;;;;;;0;5;Category;pim_catalog_boolean;0;0;;;
hardox_strengthened;"Hardox versterkt";"Hardox strengthened";;;;;0;;;;;options;0;0;;;;;;;;;;0;21;Product,Category;pim_catalog_boolean;0;1;;;
coverup_blanket;Bache;"Coverup blanket";;;;;0;;;;;specifications;0;0;;;;;;;;;;0;0;Category;pim_catalog_boolean;0;0;;;
hydraulic_spoon;"Hydraulische spon";"Hydraulic spoon";;;;;0;;;;;options;0;0;;;;;;;;;;0;22;Category;pim_catalog_boolean;0;0;;;
french_doors;"Franse deuren";"French doors";;;;;0;;;;;specifications;0;0;;;;;;;;;;0;6;Category;pim_catalog_boolean;0;0;;;
lifting_height;"Maximale werkhoogte";"Lifting height";;;;;0;;;0;METER;work;0;0;;;Length;;;0;;;;0;6;Category;pim_catalog_metric;0;0;;;
sideshift;Sideshift;Sideshift;;;;;0;;;;;annex;0;0;;;;;;;;;;0;14;Category;pim_catalog_boolean;0;0;;;
forkhook;Pallethaak;Forkhook;;;;;0;;;;;materials;0;0;;;;;;;;;;0;1;Category;pim_catalog_boolean;0;0;;;
screwclamp;Balkenklem;Screwclamp;;;;;0;;;;;annex;0;0;;;;;;;;;;0;19;Category;pim_catalog_boolean;0;0;;;
pitchfork;Mestriek;Pitchfork;;;;;0;;;;;annex;0;0;;;;;;;;;;0;20;Category;pim_catalog_boolean;0;0;;;
workcage;Werkkooi;Workcage;;;;;0;;;;;annex;0;0;;;;;;;;;;0;41;Category;pim_catalog_boolean;0;0;;;
winch;Hijslier;Winch;;;;;0;;;;;annex;0;0;;;;;;;;;;0;39;Category;pim_catalog_boolean;0;0;;;
shoveltank;Schepbak;Shoveltank;;;;;0;;;;;annex;0;0;;;;;;;;;;0;22;Category;pim_catalog_boolean;0;0;;;
liftinghook;Hijshaak;Liftinghook;;;;;0;;;;;annex;0;0;;;;;;;;;;0;36;Category;pim_catalog_boolean;0;0;;;
lifting_capacity;Hefvermogen;"Lifting capacity";;;;;0;;;0;WATT;specifications;0;0;;;Power;;;0;;;;0;7;Category;pim_catalog_metric;0;0;;;
rotator_turner;"Rotator / kantelaar";"Rotator / turner";;;;;0;;;;;other;0;0;;;;;;;;;;0;8;Category;pim_catalog_boolean;0;0;;;
paper_roll_clamp;Papierrolklem;"Paper roll clamp";;;;;0;;;;;annex;0;0;;;;;;;;;;0;18;Category;pim_catalog_boolean;0;0;;;
fork_positioner;Vorkenversteller;"Fork positioner";;;;;0;;;;;materials;0;0;;;;;;;;;;0;3;Category;pim_catalog_boolean;0;0;;;
lifting_arm_on_fork;"Hijsarm op vorken";"Lifting arm on fork";;;;;0;;;;;annex;0;0;;;;;;;;;;0;24;Category;pim_catalog_boolean;0;0;;;
