code;label-en_GB;label-nl_BE;attributes;parent;sort_order
master;;;Alternatives;;
grondverzet_0;Grondverzet;Grondverzet;Alternatives,transporttest;master;0
bulldozersengrader_0;Bulldozers en grader;Bulldozers en graders;laser,pressurized_cabin,Alternatives,transporttest,Uit_te_voeren_werken,Requirements_Machines;grondverzet_0;1
bulldozer_0;Bulldozer;Bulldozers;laser,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,GPS_Sturing,ATS_Sturing,Sblade,SU_blade,VPAT_blade,Ripper;bulldozersengrader_0;2
klein_0;Klein ;Klein ;laser,probe,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,GPS_Sturing,ATS_Sturing,Sblade,SU_blade,VPAT_blade,Ripper,Withoutcabine;bulldozer_0;3
smallbulldozers;< 8,5 ton;< 8,5 ton;;klein_0;4
85tontyped4k_0;8.5 ton type D4K;8,5 ton (= Type D4K);;klein_0;5
95tontyped5k_1;9.5 ton type D5K;9,5 ton (= Type D5K);;klein_0;6
middelgroot_3;Middelgroot ;Middelgroot ;probe;bulldozer_0;7
14tontyped6k_3;14 ton type D6K;14 ton (= Type D6K);;middelgroot_3;8
18tontyped6n_4;18 ton type D6N;18 ton (= Type D6N);;middelgroot_3;9
24tontyped6t_5;24 ton type D6T;24 ton (= Type D6T);;middelgroot_3;10
groot_6;Groot ;Groot ;;bulldozer_0;11
285tontyped7t_6;28.5 ton type D7T;28,5 ton (= Type D7T);;groot_6;12
39tontyped8t_7;39 ton type D8T;39 ton (= Type D8T);;groot_6;13
50tontyped9t_8;50 ton type D9T;50 ton (= Type D9T);;groot_6;14
66tontyped10t_9;66 ton type D10T;66 ton (= Type D10T);;groot_6;15
104tontyped11t_10;104 ton type D11T;104 ton (= Type D11T);;groot_6;16
motorgrader_11;Motorgrader;Motorgraders;laser,probe,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,GPS_Sturing,ATS_Sturing,Ripper,voorblad_duwblad;bulldozersengrader_0;17
klein_11;Klein;Klein;;motorgrader_11;18
18tontype120m_11;6-12 ton;6-12 ton;;klein_11;19
12_14ton;12-14ton;>12-14 ton;;klein_11;20
middelgroot_12;Middelgroot;Middelgroot;;motorgrader_11;21
20tontype140m_12;18 ton type 120M;18 ton (= Type 120M);;middelgroot_12;22
groot_14;Groot;Groot;;motorgrader_11;23
32tontype16m3_14;20 ton (= Type 140M);20 ton (= Type 140M);;groot_14;24
21ton;21 ton type 160M;21 ton (= Type 160M);;groot_14;25
tractormetkilverbord_15;Tractor met kilverbord;Tractoren met kilverbord;laser,pressurized_cabin,Alternatives,transporttest,bemanning,Uit_te_voeren_werken,GPS_Sturing,ATS_Sturing;bulldozersengrader_0;26
klein_15;klein;Klein;;tractormetkilverbord_15;27
2mbreedte_15;2 m breedte;2m breedte;;klein_15;28
middelgroot_16;middelgroot;Middelgroot;;tractormetkilverbord_15;29
4mbreedte_16;4m breedte;4m breedte;;middelgroot_16;30
groot_17;groot;Groot;;tractormetkilverbord_15;31
6mbreedte_17;6m breedte;6m breedte;;groot_17;32
hydraulischegraafkranen_18;Hydraulische graafkranen;Hydraulische graafkranen;pressurized_cabin,Alternatives,transporttest,Uit_te_voeren_werken,Requirements_Machines;grondverzet_0;33
