FieldID;GDSN name;Picklist ID;Mand GDSN;URN naar GDD definitie
0.023;targetMarketCountryCode;GDSN code list;Yes;urn:gs1:gdd:bie:CatalogueItemReference.targetMarketCountryCode
0.024;gpcCategoryCode;GDSN code list;Yes;urn:gs1:gdd:bie:GDSNTradeItemClassification.gpcCategoryCode
0.074;dutyFeeTaxTypeCode;GDSN code list;No;urn:gs1:gdd:bie:DutyFeeTaxInformation.dutyFeeTaxTypeCode
0.614;dutyFeeTaxAgencyCode;GDSN code list;No;urn:gs1:gdd:bie:DutyFeeTaxInformation.dutyFeeTaxAgencyCode
0.615;dutyFeeTaxCategoryCode;GDSN code list;No;urn:gs1:gdd:bie:DutyFeeTax.dutyFeeTaxCategoryCode
0.091;CountryCode;GDSN code list;No;urn:gs1:gdd:bdt:CountryCode
0.111;packagingTypeCode;GDSN code list;No;urn:gs1:gdd:bie:Packaging.packagingTypeCode
3.040;additionalTradeItemIdentificationTypeCode;GDSN code list;No;urn:gs1:gdd:bdt:AdditionalTradeItemIdentification.additionalTradeItemIdentificationTypeCode
3.007;tradeItemUnitDescriptorCode;GDSN code list;Yes;urn:gs1:gdd:bie:TradeItem.tradeItemUnitDescriptorCode
3.018;dimensionTypeCode;GDSN code list;No;urn:gs1:gdd:bie:TradeItemDimensions.dimensionTypeCode
3.050;importClassificationTypeCode;GDSN code list;No;urn:gs1:gdd:bie:ImportClassification.importClassificationTypeCode
3.030;tradeItemPrice;GDSN code list;No;urn:gs1:gdd:bie:TradeItemPrice.tradeItemPrice
3.067;regulationTypeCode;GDSN code list;No;urn:gs1:gdd:bie:RegulatoryInformation.regulationTypeCode
5.029;gHSSignalWordsCode;GDSN code list;No;urn:gs1:gdd:bie:GHSDetail.gHSSignalWordsCode
5.030;gHSSymbolDescriptionCode;GDSN code list;No;urn:gs1:gdd:bie:GHSDetail.gHSSymbolDescriptionCode
5.005;fileLanguageCode;GDSN code list;No;urn:gs1:gdd:bie:ReferencedFileInformation.fileLanguageCode
5.041;fileLanguageCode;GDSN code list;No;urn:gs1:gdd:bie:ReferencedFileInformation.fileLanguageCode
5.131;preliminaryItemStatusCode;GDSN code list;No;urn:gs1:gdd:bie:TradeItem.preliminaryItemStatusCode
6.445;referencedFileTypeCode;GDSN code list;No;urn:gs1:gdd:bie:ReferencedFileInformation.referencedFileTypeCode
6.447;fileLanguageCode;GDSN code list;No;urn:gs1:gdd:bie:ReferencedFileInformation.fileLanguageCode
7.222;importClassificationTypeCode;GDSN code list;No;urn:gs1:gdd:bie:ImportClassification.importClassificationTypeCode
7.224;displayTypeCode;GDSN code list;No;urn:gs1:gdd:bie:DisplayUnitInformation.displayTypeCode
7.225;platformTypeCode;GDSN code list;No;urn:gs1:gdd:bie:Packaging.platformTypeCode
7.229;stackingFactorTypeCode;GDSN code list;No;urn:gs1:gdd:bie:TradeItemStacking.stackingFactorTypeCode
7.253;orderingUnitOfMeasure;GDSN code list;No;urn:gs1:gdd:bie:DeliveryPurchasingInformation.orderingUnitOfMeasure
7.254;sellingUnitOfMeasure;GDSN code list;No;urn:gs1:gdd:bie:SalesInformation.sellingUnitOfMeasure
