semanticResourceURN;Code List;Code Value;codeName
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode;AcidificationMeasurementProtocolCode;;
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:LIME2;AcidificationMeasurementProtocolCode;LIME2;LIME2
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:OTHER;AcidificationMeasurementProtocolCode;OTHER;Code value not available in code list.
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:RECIPE;AcidificationMeasurementProtocolCode;RECIPE;Recipe
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:TRACI;AcidificationMeasurementProtocolCode;TRACI;TRACI
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode;AcidificationMeasurementReferenceSubstanceCode;;
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode:H_PLUS_EQ_PER_YR_PER_FU;AcidificationMeasurementReferenceSubstanceCode ;H_PLUS_EQ_PER_YR_PER_FU;H Plus equivalent per year per functional unit.
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode:KG_SO2_EQ_PER_FU;AcidificationMeasurementReferenceSubstanceCode;KG_SO2_EQ_PER_FU;"Kilogram SO2 equivalent per functional unit."
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode:OTHER;AcidificationMeasurementReferenceSubstanceCode;OTHER;Code value not available in code list.
urn:gs1:gdd:cl:AdditionalCameraAngleCode;AdditionalCameraAngleCode;;
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode;AdditionalConsignmentIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CARRIER_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;CARRIER_ASSIGNED;Carrier assigned
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CONSIGNEE_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;CONSIGNEE_ASSIGNED;Consignee assigned
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CONSIGNOR_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;CONSIGNOR_ASSIGNED;Cosignor assigned
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:FREIGHT_FORWARDER_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;FREIGHT_FORWARDER_ASSIGNED;Freight forwarder assigned
urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode;AdditionalIndividualAssetIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode:INDUSTRY_ASSIGNED;AdditionalIndividualAssetIdentificationTypeCode;INDUSTRY_ASSIGNED;Industry assigned
urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode:OWNER_ASSIGNED;AdditionalIndividualAssetIdentificationTypeCode;OWNER_ASSIGNED;Owner assigned
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode;AdditionalLogisticUnitIdentificationTypeCode;;
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:GOODS_RECEIVER_ASSIGNED;AdditionalLogisticUnitIdentificationTypeCode;GOODS_RECEIVER_ASSIGNED;Goods receiver assigned
urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:LOGISTICS_SERVICE_PROVIDER_ASSIGNED;AdditionalLogisticUnitIdentificationTypeCode;LOGISTICS_SERVICE_PROVIDER_ASSIGNED;Logistics service provider assigned
